,comments,date
157,$PANI matched jg buy ane...nyicil2..sapa tau mantul di support,"1 Dec 22, 14:49"
158,scalper pada cutloss di $PANI 🤣👍,"1 Dec 22, 14:46"
159,$PANI nasib nasib,"1 Dec 22, 14:38"
160,$PANI perihh,"1 Dec 22, 14:34"
161,$PANI trading di PANI pas gak ada volum mau ngapain sih tujuannya?? masih banyak saham yang bisa di trade harian 😅🤣,"1 Dec 22, 14:14"
162,$PANI help om aguan,"1 Dec 22, 13:54"
163,$PANI merah cugg 😭😭😭,"1 Dec 22, 13:49"
164,$PANI Pani 😭😭😭😭😭😭,"1 Dec 22, 13:46"
165,"$PANI kalo aku skr ini pegang saham go to mungkin saat ini aku depresi bgt liat dia turun arb dan yg antri jual segitu banyak.tapi kalo saya pegang saham pani dan saya lihat cahaya didpn biar turun saya msh tdk terlalu stress.karna saya percaya pik2 bkn main bisnisnya,sepak terjangnya dan perushaannya.","1 Dec 22, 13:05"
166,$PANI sarat retail tambah lama tambah banyak gimana naiknya,"1 Dec 22, 11:57"
167,$PANI tutup mata perih liat nya 😭😭😭,"1 Dec 22, 10:57"
168,$PANI herann masih ada yang doyan coba coba tradingin pani........beli dengan harap bisa jual cuan cepet.......akhirnya gak ada bid buang kiri kehajar bawah PANI nya dengan cuma volume seuprit...........,"1 Dec 22, 10:54 · Edited on 1 Dec 22, 10:56"
169,$PANI sepi banget transaksi hari ini gaes,"1 Dec 22, 10:44"
170,@sasa91 janga beli $PANI di 1.100 wkwkwk,"1 Dec 22, 10:33"
171,$PANI mau nyopet jgn disini toh. habis beli terus pasang jemuran di kanan. sukurin dah jemuran nya gak kering 🤣🤣,"1 Dec 22, 10:24"
172,"trading daily jgn di $PANI ya kakak, value beloman 1 milyard sd jam 09.49 trs lot buy & ot offer gak nyampe ratusan ribu, kejar lot offer yg guedee ada lhoo 177 juta lot di offer, cek deh ke $GOTO 😆 😂","1 Dec 22, 09:51"
173,$PANI wah cilaka kmr mg punya pani di 977,"1 Dec 22, 09:37"
174,"$WIRG sedekahkanlah uang kalian ke panti asuhan , jangan sedekahkan ke bandar 🤭
$NANO $WINR $PANI","1 Dec 22, 07:35"
175,$PANI,"1 Dec 22, 07:34"
176,"$PANI 30 nov batas relaksasi emiten mengeluarkan lapkeu yang unaudited...... PANI masih punya nafas sampai batas 31 des 2022 untuk lapkeu kuartal 3 nya karena statusnya dalam audit......tapi kalau saya boleh mengira"" seharusnya dalam 1-2 pekan lagi sudah keluar.......","30 Nov 22, 23:40"
177,"🌟PANI REVIEW 30 NOVEMBER 2022 ⭐️

Info Saham Terbaik LINK DI BIO YA! 👈

PANI REBOUND SUPPORT ?❗️

beberapa hari ini terlihat saham $PANI terus mengalami koreksi berturut-turut. Terlihat PANI sudah mulai kembali ke support kuat fibonya di goldenratio hari ini di level 985 dan cukup menarik karena adanya pantulan tepat di supportnya. PANI berpotensi untuk memanfaatkan momentum buy on weakness selagi masih dekat dengan supportnya/ area demand nya. Secara historisnya PANI berpotensi rebound ketika menyentuh supportnya didukung dengan volume sell yang terus mengecil. PANI termasuk highrisk bisa specbuy dekat dengan supportnya

Saham ini cukup menarik untuk dipantau 👍
Gimana menurut kalian cuaners? 😊

[Info Saham Terbaik Link Di Bio! ❗️]

Pantauan Lain




Saham ini cukup menarik untuk dipantau 👍
Gimana menurut kalian cuaners? 😊

[Info Saham Terbaik Link Di Bio! ❗️]

Analisa kembali, bukan ajakan membeli dan hanya opini disc on","30 Nov 22, 23:34"
178,$PANI mudah2 an window dressing menghampiri PANI,"30 Nov 22, 23:33"
179,"$MEDC ke 800 saya tak buy maksimal..... ingat yahhh, tak buy maksimal....

$AKRA $GDST $SLIS $PANI","30 Nov 22, 19:59"
